1613088000000,0.52824000,0.53122000,0.52688000,0.52768000,5083830.40000000,1613088299999,2690000.12168600,3603,2672119.80000000,1414226.38750900,0
1613088300000,0.52759000,0.52946000,0.52557000,0.52754000,3394904.50000000,1613088599999,1791687.13093100,2177,1771034.20000000,934723.68419200,0
1613088600000,0.52726000,0.52974000,0.52625000,0.52667000,2963909.30000000,1613088899999,1564869.25154400,1869,1376509.60000000,726889.97930500,0
1613088900000,0.52666000,0.52800000,0.52523000,0.52800000,3197028.80000000,1613089199999,1682525.57068200,1602,1363471.00000000,717603.22763700,0
1613089200000,0.52799000,0.52982000,0.52776000,0.52845000,1918259.10000000,1613089499999,1013989.88891000,1226,701141.40000000,370588.37489800,0
1613089500000,0.52848000,0.52867000,0.52544000,0.52671000,1895198.40000000,1613089799999,999086.96388400,1326,885915.40000000,467057.31969500,0
1613089800000,0.52693000,0.52860000,0.52628000,0.52798000,1551462.10000000,1613090099999,818400.99337500,1211,853013.80000000,449935.03762800,0
1613090100000,0.52800000,0.53000000,0.52707000,0.52834000,1845699.10000000,1613090399999,975692.03967700,1537,1013839.70000000,536040.72800400,0
1613090400000,0.52809000,0.52884000,0.52731000,0.52828000,1542608.80000000,1613090699999,814393.75888600,1062,849525.50000000,448524.10894400,0
1613090700000,0.52836000,0.52934000,0.52675000,0.52757000,1523530.80000000,1613090999999,804315.50223800,1014,623220.80000000,329071.30699200,0
1613091000000,0.52760000,0.52813000,0.52522000,0.52531000,1594474.60000000,1613091299999,839646.39198300,969,663636.10000000,349418.59689600,0
1613091300000,0.52521000,0.52551000,0.52113000,0.52309000,3752668.80000000,1613091599999,1963541.21376200,2474,1807527.40000000,945587.45092500,0
1613091600000,0.52323000,0.52323000,0.51871000,0.52090000,10677821.30000000,1613091899999,5551588.03567800,4645,7667785.60000000,3986593.16887800,0
1613091900000,0.52090000,0.52248000,0.51926000,0.52078000,3177220.60000000,1613092199999,1654565.50789300,1940,1364913.20000000,710769.57215300,0
1613092200000,0.52067000,0.52249000,0.51921000,0.52186000,2919552.80000000,1613092499999,1521393.32946700,1534,1423561.10000000,741760.41690100,0
1613092500000,0.52185000,0.52377000,0.52098000,0.52371000,1856296.00000000,1613092799999,970054.39839800,1123,858836.60000000,448821.35400700,0
1613092800000,0.52373000,0.52466000,0.52259000,0.52356000,2015033.70000000,1613093099999,1054861.65809400,1181,835103.10000000,437161.43922600,0
1613093100000,0.52360000,0.52488000,0.52300000,0.52475000,1205162.00000000,1613093399999,631400.55530900,815,668385.80000000,350328.44962100,0
1613093400000,0.52475000,0.52810000,0.52453000,0.52778000,2312482.10000000,1613093699999,1217085.58786600,1654,1244748.50000000,655263.50421100,0
1613093700000,0.52786000,0.53037000,0.52671000,0.52852000,4040635.30000000,1613093999999,2135518.40630100,2690,2367216.10000000,1251311.39884600,0
1613094000000,0.52851000,0.52982000,0.52688000,0.52969000,2007669.90000000,1613094299999,1060885.63137900,1407,1052720.40000000,556368.36086400,0
1613094300000,0.52970000,0.53100000,0.52803000,0.52948000,2204729.30000000,1613094599999,1167481.25239900,1636,1174431.10000000,622011.06908300,0
1613094600000,0.52948000,0.53121000,0.52942000,0.53012000,2606165.00000000,1613094899999,1382035.68851400,1444,1394153.70000000,739395.63940600,0
1613094900000,0.53011000,0.53075000,0.52912000,0.53005000,1591833.10000000,1613095199999,843842.44302100,1118,755369.30000000,400469.58723400,0
1613095200000,0.53005000,0.53034000,0.52800000,0.52911000,1911808.40000000,1613095499999,1012054.18643200,1180,955455.30000000,505848.40588000,0
1613095500000,0.52911000,0.52928000,0.52728000,0.52880000,1573169.50000000,1613095799999,831012.71179100,985,707548.50000000,373780.12210500,0
1613095800000,0.52880000,0.52936000,0.52814000,0.52826000,1111191.50000000,1613096099999,587343.70072800,778,570177.70000000,301388.77436800,0
1613096100000,0.52817000,0.52862000,0.52640000,0.52688000,1233152.20000000,1613096399999,650866.44864700,894,623407.60000000,329079.94962100,0
1613096400000,0.52688000,0.52889000,0.52634000,0.52782000,1857780.90000000,1613096699999,980576.31724300,1142,987471.60000000,521181.35030100,0
1613096700000,0.52797000,0.53690000,0.52738000,0.53678000,5891825.20000000,1613096999999,3136883.41067600,4237,4061931.60000000,2162483.15797000,0
1613097000000,0.53671000,0.54888000,0.53520000,0.54621000,19904876.80000000,1613097299999,10789113.91174200,11977,12136273.30000000,6576814.19076900,0
1613097300000,0.54608000,0.55505000,0.54435000,0.55500000,21844818.90000000,1613097599999,12006856.33439300,11413,12729648.70000000,6998069.22038800,0
1613097600000,0.55500000,0.56632000,0.55500000,0.56500000,32906953.70000000,1613097899999,18447596.89645800,15322,17320104.40000000,9712865.45407000,0
1613097900000,0.56500000,0.56666000,0.55000000,0.55793000,23061594.20000000,1613098199999,12913552.89959700,11674,11016543.30000000,6175189.49265400,0
1613098200000,0.55789000,0.56878000,0.55628000,0.56823000,15807359.00000000,1613098499999,8890367.33239900,8415,8616496.80000000,4848321.02374200,0
1613098500000,0.56855000,0.57000000,0.56082000,0.56391000,19470611.00000000,1613098799999,11026389.76941600,10166,10675115.20000000,6047684.68213600,0
1613098800000,0.56412000,0.56572000,0.55688000,0.55987000,11263815.00000000,1613099099999,6313053.96227600,6730,5261966.70000000,2949136.66533000,0
1613099100000,0.55955000,0.56496000,0.55844000,0.55844000,8918772.30000000,1613099399999,5008157.37558500,4547,3908785.20000000,2195713.40784900,0
1613099400000,0.55875000,0.55971000,0.55000000,0.55736000,12999612.80000000,1613099699999,7213438.73663600,6298,5487975.30000000,3047271.20898600,0
